feature,importance
num_sources_sum_r14,0.046141494
std_tone_r14,0.037808944
article_count_r14,0.032379042
num_articles_sum_r14,0.031009508
num_sources_sum_r7,0.027654469
cat_labor_r14,0.027580366
num_mentions_sum_r14,0.026554374
num_articles_sum_wow,0.022759372
num_sources_sum,0.022239693
article_count_wow,0.02209289
num_sources_sum_wow,0.021406837
num_mentions_sum_r7,0.020628653
num_mentions_sum_wow,0.019887345
article_count,0.019373637
num_mentions_sum,0.01906615
cat_trade_policy_r14,0.018500865
prop_local_r14,0.01849414
avg_tone_r7,0.018265445
avg_tone,0.018190846
prop_global_wow,0.018136028
num_articles_sum,0.017941346
cat_port_r14,0.017338343
prop_regional,0.016698029
prop_global,0.016595699
avg_tone_wow,0.016335089
avg_severity_wow,0.016072541
cat_geopolitical_r14,0.015597688
avg_goldstein_wow,0.014873027
root_event_ratio_r14,0.014539428
std_tone,0.014210924
prop_regional_r7,0.014147255
conflict_ratio_r14,0.014119662
avg_goldstein_r14,0.014002573
cat_labor_wow,0.013884919
avg_tone_r14,0.013758769
cat_geopolitical,0.013299504
prop_regional_wow,0.012950224
cat_trade_policy_wow,0.012745838
prop_local_wow,0.012641405
avg_goldstein,0.012523046
cat_port_wow,0.012391987
prop_global_r14,0.012311877
root_event_ratio_wow,0.012008537
cat_economic_r14,0.011850492
article_count_r7,0.011848408
cat_geopolitical_wow,0.011786613
cat_trade_policy,0.0117496075
cat_port,0.011723836
prop_local,0.011723116
prop_regional_r14,0.011605832
cat_labor,0.011386221
std_tone_wow,0.010455746
conflict_ratio,0.01019052
num_articles_sum_r7,0.010049186
cat_geopolitical_r7,0.009834087
root_event_ratio,0.009511791
avg_severity_r14,0.009396437
conflict_ratio_wow,0.008922185
std_tone_r7,0.0079936925
avg_severity,0.006813471
cat_port_r7,0.0040009045
cat_economic_wow,0.0
cat_labor_r7,0.0
conflict_event_ratio,0.0
sig_propagation,0.0
sig_amplifier,0.0
cat_trade_policy_r7,0.0
sig_precursor,0.0
cat_economic_r7,0.0
prop_local_r7,0.0
sig_response,0.0
sig_trigger,0.0
cat_economic,0.0
prop_global_r7,0.0
max_severity,0.0
sig_trigger_r14,0.0
sig_trigger_wow,0.0
max_severity_r7,0.0
max_severity_wow,0.0
conflict_ratio_r7,0.0
avg_severity_r7,0.0
conflict_event_ratio_r7,0.0
conflict_event_ratio_r14,0.0
conflict_event_ratio_wow,0.0
root_event_ratio_r7,0.0
avg_goldstein_r7,0.0
sig_amplifier_r7,0.0
sig_amplifier_r14,0.0
sig_amplifier_wow,0.0
sig_precursor_r7,0.0
sig_precursor_r14,0.0
sig_precursor_wow,0.0
sig_propagation_r7,0.0
sig_propagation_r14,0.0
sig_propagation_wow,0.0
sig_response_r7,0.0
sig_response_r14,0.0
sig_response_wow,0.0
sig_trigger_r7,0.0
max_severity_r14,0.0
