article_count,num_mentions_sum,num_sources_sum,num_articles_sum,avg_tone,std_tone,avg_goldstein,avg_severity,max_severity,conflict_ratio,conflict_event_ratio,root_event_ratio,sig_amplifier,sig_precursor,sig_propagation,sig_response,sig_trigger,cat_economic,cat_geopolitical,cat_labor,cat_port,cat_trade_policy,prop_local,prop_regional,prop_global,article_count_r7,article_count_r14,article_count_wow,num_mentions_sum_r7,num_mentions_sum_r14,num_mentions_sum_wow,num_sources_sum_r7,num_sources_sum_r14,num_sources_sum_wow,num_articles_sum_r7,num_articles_sum_r14,num_articles_sum_wow,avg_tone_r7,avg_tone_r14,avg_tone_wow,std_tone_r7,std_tone_r14,std_tone_wow,avg_goldstein_r7,avg_goldstein_r14,avg_goldstein_wow,avg_severity_r7,avg_severity_r14,avg_severity_wow,max_severity_r7,max_severity_r14,max_severity_wow,conflict_ratio_r7,conflict_ratio_r14,conflict_ratio_wow,conflict_event_ratio_r7,conflict_event_ratio_r14,conflict_event_ratio_wow,root_event_ratio_r7,root_event_ratio_r14,root_event_ratio_wow,sig_amplifier_r7,sig_amplifier_r14,sig_amplifier_wow,sig_precursor_r7,sig_precursor_r14,sig_precursor_wow,sig_propagation_r7,sig_propagation_r14,sig_propagation_wow,sig_response_r7,sig_response_r14,sig_response_wow,sig_trigger_r7,sig_trigger_r14,sig_trigger_wow,cat_economic_r7,cat_economic_r14,cat_economic_wow,cat_geopolitical_r7,cat_geopolitical_r14,cat_geopolitical_wow,cat_labor_r7,cat_labor_r14,cat_labor_wow,cat_port_r7,cat_port_r14,cat_port_wow,cat_trade_policy_r7,cat_trade_policy_r14,cat_trade_policy_wow,prop_local_r7,prop_local_r14,prop_local_wow,prop_regional_r7,prop_regional_r14,prop_regional_wow,prop_global_r7,prop_global_r14,prop_global_wow,label,is_synthetic
2.0,4.0,2.0,4.0,1.9573,0.0,-5.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,1.9573,1.9573,0.0,0.0,0.0,0.0,-5.0,-5.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2.0,4.0,2.0,4.0,-11.3043,0.0,-5.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,-11.3043,-4.6735,-6.775455985285853,0.0,0.0,0.0,-5.0,-5.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
62.0,278.0,62.0,278.0,-5.288,3.6355,-5.2387,4.0,4.0,0.871,1.0,0.0323,0.0,0.0,0.0,0.0,1.0,0.0,0.0645,0.129,0.0,0.8065,0.4516,0.5484,0.0,62.0,32.0,30.0,278.0,141.0,68.5,62.0,32.0,30.0,278.0,141.0,68.5,-5.288,-8.29615,-0.5322134055182541,3.6355,1.81775,0.0,-5.2387,-5.11935,0.047739999999999894,4.0,4.0,0.0,4.0,4.0,0.0,0.871,0.9355,-0.129,1.0,1.0,0.0,0.0323,0.01615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0645,0.03225,0.0,0.129,0.0645,0.0,0.0,0.0,0.0,0.8065,0.90325,-0.1935,0.4516,0.7258,-0.5484,0.5484,0.2742,0.0,0.0,0.0,0.0,0,0
242.0,944.0,244.0,928.0,-4.3954,3.2215,-5.0124,4.0,4.0,0.8595,1.0,0.0496,0.0,0.0,0.0,0.0,1.0,0.0,0.1653,0.0744,0.0331,0.7273,0.4215,0.5785,0.0,242.0,152.0,2.903225806451613,944.0,611.0,2.3956834532374103,244.0,153.0,2.935483870967742,928.0,603.0,2.338129496402878,-4.3954,-4.8417,-0.16879727685325263,3.2215,3.4284999999999997,-0.11387704579837721,-5.0124,-5.1255500000000005,-0.04319773989730258,4.0,4.0,0.0,4.0,4.0,0.0,0.8595,0.8652500000000001,-0.01320321469575192,1.0,1.0,0.0,0.0496,0.04095,0.5356037151702784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1653,0.1149,1.5627906976744184,0.0744,0.1017,-0.42325581395348844,0.0331,0.01655,0.0,0.7273,0.7668999999999999,-0.09820210787352768,0.4215,0.43655,-0.06665190434012402,0.5785,0.56345,0.05488694383661574,0.0,0.0,0.0,0,0
118.0,616.0,138.0,608.0,-4.4779,3.0782,-5.0932,4.0169,5.0,0.9322,1.0,0.0508,0.0,0.0,0.0,0.0,1.0,0.0,0.1695,0.0847,0.0169,0.7288,0.4576,0.5254,0.0169,118.0,180.0,-0.5123966942148761,616.0,780.0,-0.34745762711864403,138.0,191.0,-0.43442622950819676,608.0,768.0,-0.3448275862068966,-4.4779,-4.43665,0.018769622787459417,3.0782,3.14985,-0.044482383982616835,-5.0932,-5.0528,0.016120022344585427,4.0169,4.00845,0.004224999999999923,5.0,4.5,0.25,0.9322,0.89585,0.08458406050029077,1.0,1.0,0.0,0.0508,0.050199999999999995,0.024193548387096753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1695,0.1674,0.025408348457350405,0.0847,0.07955,0.13844086021505375,0.0169,0.024999999999999998,-0.4894259818731118,0.7288,0.72805,0.0020624226591503536,0.4576,0.43955,0.08564650059311996,0.5254,0.5519499999999999,-0.0917891097666379,0.0169,0.00845,0.0,0,0
148.0,622.0,148.0,618.0,-3.9417,4.4666,-5.2527,4.0135,5.0,0.7432,1.0,0.027,0.0,0.0,0.0,0.0,1.0,0.0,0.1081,0.1757,0.0405,0.6757,0.4865,0.5,0.0135,148.0,133.0,0.2542372881355932,622.0,619.0,0.009740259740259827,148.0,143.0,0.07246376811594213,618.0,613.0,0.016447368421052655,-3.9417,-4.2097999999999995,-0.11974362982648112,4.4666,3.7723999999999998,0.45104281723084916,-5.2527,-5.17295,0.031316264823686435,4.0135,4.0152,-0.000846423859194867,5.0,5.0,0.0,0.7432,0.8377,-0.20274619180433384,1.0,1.0,0.0,0.027,0.0389,-0.46850393700787396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1081,0.1388,-0.36224188790560474,0.1757,0.13019999999999998,1.0743801652892562,0.0405,0.0287,1.3964497041420123,0.6757,0.70225,-0.07285949506037326,0.4865,0.47204999999999997,0.06315559440559437,0.5,0.5126999999999999,-0.0483441187666539,0.0135,0.015199999999999998,-0.20118343195266264,0,0
102.0,596.0,104.0,464.0,-6.2157,4.8358,-5.251,4.0,4.0,0.902,1.0,0.0196,0.0,0.0,0.0,0.0,1.0,0.0,0.098,0.1961,0.098,0.6078,0.3529,0.6078,0.0392,102.0,125.0,-0.31081081081081086,596.0,609.0,-0.04180064308681675,104.0,126.0,-0.29729729729729726,464.0,541.0,-0.2491909385113269,-6.2157,-5.0786999999999995,0.5769084405205875,4.8358,4.651199999999999,0.08265795011865862,-5.251,-5.25185,-0.00032364307879750864,4.0,4.00675,-0.0033636476890493983,4.0,4.5,-0.19999999999999996,0.902,0.8226,0.21367061356297112,1.0,1.0,0.0,0.0196,0.0233,-0.27407407407407414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.098,0.10305,-0.09343200740055502,0.1961,0.1859,0.11610700056915202,0.098,0.06925,1.4197530864197532,0.6078,0.64175,-0.10048838241823288,0.3529,0.41969999999999996,-0.2746145940390544,0.6078,0.5539000000000001,0.2156,0.0392,0.02635,1.9037037037037035,0,0
4.0,20.0,4.0,20.0,-5.5804,0.0,-7.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,4.0,53.0,-0.9607843137254902,20.0,308.0,-0.9664429530201343,4.0,54.0,-0.9615384615384616,20.0,242.0,-0.9568965517241379,-5.5804,-5.89805,-0.10220892256704794,0.0,2.4179,-1.0,-7.0,-6.125500000000001,0.3330794134450581,4.0,4.0,0.0,4.0,4.0,0.0,1.0,0.9510000000000001,0.10864745011086474,1.0,1.0,0.0,0.0,0.0098,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.549,9.204081632653061,0.0,0.09805,-1.0,0.0,0.049,-1.0,0.0,0.3039,-1.0,0.5,0.42645,0.4168319637291018,0.5,0.5539000000000001,-0.17736097400460682,0.0,0.0196,-1.0,0,0
12.0,16.0,12.0,16.0,-9.1199,0.1158,-5.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,8.0,2.0,16.0,18.0,-0.19999999999999996,12.0,8.0,2.0,16.0,18.0,-0.19999999999999996,-9.1199,-7.35015,0.6342735287792989,0.1158,0.0579,0.0,-5.0,-6.0,-0.2857142857142857,4.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.75,1.0,0.0,0.25,-1.0,0.0,0.0,0.0,0,0
8.0,20.0,8.0,20.0,-5.9341,0.0,-5.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,8.0,10.0,-0.33333333333333337,20.0,18.0,0.25,8.0,10.0,-0.33333333333333337,20.0,18.0,0.25,-5.9341,-7.527000000000001,-0.349324005745677,0.0,0.0579,-1.0,-5.0,-5.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.75,-0.5,0.5,0.25,0.0,0.0,0.0,0.0,0,0
