model,variant,horizon_days,f1,precision,recall,auc,notes
ARIMA (baseline),no text,7,0.7692,0.625,1.0,1.0,"GSCPI only, ARIMA(2,1,2), thresh=0.5"
ARIMA (baseline),no text,14,0.7692,0.625,1.0,1.0,"GSCPI only, ARIMA(2,1,2), thresh=0.45"
ARIMA (baseline),no text,21,0.7143,0.5556,1.0,1.0,"GSCPI only, ARIMA(2,1,2), thresh=0.4"
XGBoost,A: full features,7,0.5244,0.3679,0.9126,0.6071,"100 features, T4 labels, thresh=0.4"
XGBoost,A: full features,14,0.519,0.3604,0.9272,0.6071,"100 features, T4 labels, thresh=0.35"
XGBoost,A: full features,21,0.5201,0.3593,0.9417,0.6071,"100 features, T4 labels, thresh=0.3"
XGBoost,B: tone only,7,0.49,0.3589,0.7718,0.5213,"12 features, T4 labels, thresh=0.4"
XGBoost,B: tone only,14,0.4863,0.354,0.7767,0.5213,"12 features, T4 labels, thresh=0.35"
XGBoost,B: tone only,21,0.4941,0.3544,0.8155,0.5213,"12 features, T4 labels, thresh=0.3"
XGBoost,C: no text,7,0.517,0.3795,0.8107,0.5807,"16 features, T4 labels, thresh=0.4"
XGBoost,C: no text,14,0.5158,0.3742,0.8301,0.5807,"16 features, T4 labels, thresh=0.35"
XGBoost,C: no text,21,0.5088,0.365,0.8398,0.5807,"16 features, T4 labels, thresh=0.3"
LSTM,full features,7,0.5492,0.408,0.8398,0.6814,"PyTorch LSTM(64,32), window=8wk, T4 labels"
LSTM,full features,14,0.5492,0.408,0.8398,0.6814,"PyTorch LSTM(64,32), window=8wk, T4 labels"
LSTM,full features,21,0.5538,0.4108,0.8495,0.6814,"PyTorch LSTM(64,32), window=8wk, T4 labels"
RAG-LLM,text-only,7,0.5177,0.3498,0.9951,0.5493,"TF-IDF top-5, taxonomy weights, no GSCPI input, thresh=0.34"
RAG-LLM,text-only,14,0.5286,0.3612,0.9854,0.5501,"TF-IDF top-5, taxonomy weights, no GSCPI input, thresh=0.48"
RAG-LLM,text-only,21,0.5209,0.3566,0.966,0.5578,"TF-IDF top-5, taxonomy weights, no GSCPI input, thresh=0.54"
